[20200528,13040]
[20200527,12943]
[20200526,12892]
[20200525,12813]
[20200522,12793]
[20200521,12918]
[20200520,12886]
[20200519,12856]
[20200518,12720]
[20200515,12589]
[20200514,12496]
[20200513,12424]
[20200512,12558]
[20200511,12495]
[20200508,12456]
[20200507,12582]
[20200506,12574]
[20200430,12431]
[20200429,12419]
[20200428,12309]
[20200427,12125]
[20200424,12139]
[20200423,12053]
[20200422,11991]
[20200421,12174]
[20200420,12269]
[20200417,12054]
[20200416,11889]
[20200415,11693]
[20200414,11609]
[20200413,11693]
[20200410,11587]
[20200409,11478]
[20200408,11509]
[20200407,11463]
[20200403,11326]
[20200402,11291]
[20200401,11434]
[20200331,11393]
[20200330,11591]
[20200327,11530]
[20200326,11577]
[20200325,11437]
[20200324,11201]
[20200323,11842]
[20200320,11726]
[20200319,12144]
[20200318,12534]
[20200317,12653]
[20200316,12742]
[20200313,12740]
[20200312,12795]
[20200311,12821]
[20200310,12733]
[20200309,13001]
[20200306,13077]
[20200305,13073]
[20200304,13134]
[20200303,13166]
[20200302,12968]
[20200228,13284]
[20200227,13338]
[20200226,13386]
[20200225,13376]
[20200224,13428]
[20200221,13522]
[20200220,13558]
[20200219,13571]
[20200218,13545]
[20200217,13568]
[20200214,13576]
[20200213,13608]
[20200212,13640]
[20200211,13657]
[20200210,13589]
[20200207,13536]
[20200206,13482]
[20200205,13450]
[20200204,13453]
[20200203,14054]
[20200123,14018]
[20200122,13968]
[20200121,14061]
[20200120,14136]
[20200117,14190]
[20200116,13994]
[20200115,13795]
[20200114,13814]
[20200113,13967]
[20200110,13911]
[20200109,13938]
[20200108,13917]
[20200107,13884]
[20200106,13871]
[20200103,13871]
[20200102,13902]
[20191231,13871]
[20191230,13891]
[20191227,13839]
[20191226,13999]
[20191225,14015]
[20191224,13987]
[20191223,13966]
[20191220,13976]
[20191219,13942]
[20191218,13864]
[20191217,13765]
[20191216,13732]
[20191213,13690]
[20191212,13707]
[20191211,13721]
[20191210,13630]
[20191209,13597]
[20191206,13615]
[20191205,13660]
[20191204,13625]
[20191203,13636]
[20191202,13613]
[20191129,13540]
[20191128,13458]
[20191127,13442]
[20191126,13494]
[20191125,13541]
[20191122,13559]
[20191121,13515]
[20191120,13439]
[20191119,13484]
[20191118,13426]
[20191115,13390]
[20191114,13431]
[20191113,13398]
[20191112,13474]
[20191111,13611]
[20191108,13617]
[20191107,13535]
[20191106,13543]
[20191105,13531]
[20191104,13495]
[20191101,13438]
[20191031,13426]
[20191030,13393]
[20191029,13412]
[20191028,13387]
[20191025,13409]
[20191024,13368]
[20191023,13377]
[20191022,13355]
[20191021,13421]
[20191018,13448]
[20191017,13412]
[20191016,13363]
[20191015,13327]
[20191014,13363]
[20191011,13502]
[20191010,13503]
[20191009,13550]
[20191008,13591]
[20190930,13585]
[20190927,13619]
[20190926,13682]
[20190925,13738]
[20190924,13786]
[20190923,13803]
[20190920,13751]
[20190919,13789]
[20190918,13834]
[20190917,13847]
[20190916,13973]
[20190912,13982]
[20190911,13922]
[20190910,13943]
[20190909,13801]
[20190906,13892]
[20190905,13884]
[20190904,13881]
[20190903,13890]
[20190902,13850]
[20190830,13795]
[20190829,13811]
[20190828,13834]
[20190827,13777]
[20190826,13804]
[20190823,13871]
[20190822,13862]
[20190821,13857]
[20190820,13918]
[20190819,13757]
[20190816,13720]
[20190815,13802]
[20190814,13732]
[20190813,13671]
[20190812,13607]
[20190809,13483]
[20190808,13439]
[20190807,13439]
