[20210210,161350,166285,164054,161202,62423]
[20210209,163363,163245,163857,160224,64694]
[20210208,162840,162761,165130,162041,75263]
[20210205,161577,163837,163097,160728,42943]
[20210204,162860,161044,162860,160896,38303]
[20210203,166265,162120,166443,160984,64039]
[20210202,168022,165663,168269,164636,53560]
[20210201,171546,167193,171546,162968,87940]
[20210129,170540,170648,174195,170330,26512]
[20210128,170589,170868,172203,169275,20628]
[20210127,171825,170639,172950,168508,19793]
[20210126,168677,171107,172113,167362,18285]
[20210125,161127,169195,169703,160639,13153]
[20210122,160519,161157,163159,160370,6570]
[20210121,158168,162362,160668,157949,6147]
[20210120,157361,158358,158806,156943,5564]
[20210119,156714,157591,157859,156355,5638]
[20210118,153716,156913,156714,153716,5996]
[20210115,153357,155479,154811,153357,3774]
[20210114,153178,154333,153975,152172,4794]
[20210113,153018,153586,154353,152670,10705]
[20210112,153377,153805,154592,151694,10658]
[20210111,157571,153925,157790,152580,14998]
[20210108,159065,157023,159065,156007,12493]
[20210107,158277,157292,159276,157139,59575]
[20210106,158168,158148,159106,156989,61924]
[20210105,154293,157648,159576,154223,77089]
[20210104,151657,157069,154273,150818,37231]
[20201231,152338,152216,153099,151126,10613]
[20201230,153730,152067,154872,152148,11758]
[20201229,153450,154441,154501,152859,8572]
[20201228,153550,153920,154521,152428,4506]
[20201225,152158,153740,154451,152158,3377]
[20201224,151607,153440,152648,151486,3507]
[20201223,151637,152358,152849,150144,5834]
[20201222,152728,152328,153009,151476,4077]
[20201221,154622,152017,155753,152107,4563]
[20201218,154732,153930,155493,153500,3093]
[20201217,153069,154371,155323,153069,3595]
[20201216,152228,154592,154652,151336,4546]
[20201215,152157,152869,154437,151796,52202]
[20201214,150641,152328,152700,150259,37263]
[20201211,152619,150691,154668,149204,60165]
[20201210,150661,153624,152579,150661,39219]
[20201209,149857,150932,151213,148983,33720]
[20201208,149355,149435,150801,149174,32072]
[20201207,148431,149707,149636,147768,29700]
[20201204,146653,148019,148712,146563,29450]
[20201203,146874,147537,147216,145840,23743]
[20201202,146643,146523,148069,146362,24582]
[20201201,149676,147326,149787,146241,26756]
[20201130,148765,149596,150369,148535,8753]
[20201127,147281,149918,149818,147141,5537]
[20201126,146349,147853,147522,146289,4886]
[20201125,147251,146429,147562,146028,1879]
[20201124,147221,147031,147572,146229,2216]
[20201123,147171,147251,147803,146700,3422]
[20201120,147743,146810,148073,146700,4058]
[20201119,151502,147251,151502,147522,4485]
[20201118,148926,150189,152575,148926,5070]
[20201117,149387,149988,150891,148595,4079]
[20201116,147281,149878,149387,146750,2840]
[20201113,146449,146880,147442,146008,1310]
[20201112,146249,146479,147231,146098,1328]
[20201111,146590,146148,147362,146118,1464]
[20201110,147261,146339,147552,146489,1963]
[20201109,147111,147432,147893,146469,1708]
[20201106,146830,147622,147462,146269,990]
[20201105,146058,146830,147121,146058,366]
[20201104,146028,146459,147151,145637,322]
[20201103,144544,146810,146369,144264,205]
[20201102,143641,144544,144785,142478,30835]
[20201030,142169,143641,143952,141840,4564]
[20201029,144031,142298,144031,142209,1674]
[20201028,143712,142398,144728,143135,2580]
[20201027,142278,143513,144310,142029,1877]
[20201026,145665,143543,145744,142896,3542]
[20201023,145595,145485,146033,144977,2545]
[20201022,146641,145595,147776,145157,6533]
[20201021,146820,147328,147587,146641,6505]
[20201020,146790,147457,147945,146133,2716]
[20201019,146103,147378,146850,144589,3075]
[20201016,145306,144748,146581,145226,2196]
[20201015,145854,145376,146670,145306,2319]
[20201014,145894,145864,146053,145226,1597]
[20201013,146571,145674,146810,145365,30925]
[20201012,146063,146541,147338,145794,29732]
[20201009,145704,146721,148185,145704,20423]
[20200930,143619,147787,145935,143269,12161]
[20200929,142356,143609,143820,142226,12092]
[20200928,140993,143088,142727,139279,8392]
[20200925,142587,140131,142627,139931,9662]
[20200924,145825,140201,145825,142256,10099]
[20200923,146296,144842,147569,145173,5686]
[20200922,146055,146536,146396,143780,4506]
[20200921,144852,145584,146135,143068,4284]
[20200918,142346,143459,145013,142186,4600]
[20200917,145474,142276,145694,142176,5063]
[20200916,144732,145484,145925,144602,6416]
[20200915,145694,145243,145694,144391,4675]
[20200914,142958,145313,146115,142958,3598]
[20200911,144451,144040,144732,142366,4663]
[20200910,145684,144291,146396,143840,3825]
[20200909,147930,145704,147930,144842,4613]
[20200908,146757,145764,148852,146757,4871]
[20200907,146646,147789,148270,146546,3090]
[20200904,148140,146757,148140,145664,2321]
[20200903,147278,147579,149353,147088,1569]
[20200902,146717,147448,147699,146246,538]
[20200901,146035,146857,147017,145744,318]
[20200831,145283,146386,146626,144572,394]
[20200828,144036,145223,145484,144006,33775]
[20200827,142940,144680,144780,142769,30230]
[20200826,142175,143040,143402,141532,27629]
