[20200319,39721]
[20200318,42278]
[20200317,42303]
[20200316,43321]
[20200313,43044]
[20200312,43964]
[20200311,44404]
[20200310,43688]
[20200309,44720]
[20200306,45178]
[20200305,45119]
[20200304,45449]
[20200303,45543]
[20200302,44967]
[20200228,45737]
[20200227,45922]
[20200226,46243]
[20200225,46301]
[20200224,46277]
[20200221,46723]
[20200220,46699]
[20200219,46570]
[20200218,46789]
[20200217,46536]
[20200214,46175]
[20200213,45973]
[20200212,45981]
[20200211,45791]
[20200210,46096]
[20200207,46437]
[20200206,46134]
[20200205,45560]
[20200204,45130]
[20200203,48318]
[20200123,48781]
[20200122,48658]
[20200121,49356]
[20200120,49499]
[20200117,49430]
[20200116,49512]
[20200115,49635]
[20200114,49372]
[20200113,49326]
[20200110,49216]
[20200109,49149]
[20200108,49260]
[20200107,49064]
[20200106,49317]
[20200103,49608]
[20200102,49582]
[20191231,49894]
[20191230,50114]
[20191227,50076]
[20191226,50083]
[20191225,50021]
[20191224,49649]
[20191223,49397]
[20191220,49664]
[20191219,49447]
[20191218,49631]
[20191217,49547]
[20191216,49393]
[20191213,49591]
[20191212,49564]
[20191211,49214]
[20191210,49033]
[20191209,48321]
[20191206,47636]
[20191205,47408]
[20191204,47477]
[20191203,47724]
[20191202,47734]
[20191129,47762]
[20191128,47800]
[20191127,47563]
[20191126,47513]
[20191125,47280]
[20191122,47520]
[20191121,47458]
[20191120,47323]
[20191119,47389]
[20191118,47311]
[20191115,47448]
[20191114,47429]
[20191113,47680]
[20191112,47566]
[20191111,47764]
[20191108,47656]
[20191107,47713]
[20191106,47855]
[20191105,47549]
[20191104,47632]
[20191101,47865]
[20191031,48057]
[20191030,47887]
[20191029,47964]
[20191028,47974]
[20191025,47893]
[20191024,47645]
[20191023,47651]
[20191022,47547]
[20191021,47074]
[20191018,47184]
[20191017,47295]
[20191016,47490]
[20191015,47567]
[20191014,47456]
[20191011,47248]
[20191010,47168]
[20191009,47334]
[20191008,47836]
[20190930,47608]
[20190927,47690]
[20190926,47675]
[20190925,47690]
[20190924,47557]
[20190923,47701]
[20190920,47638]
[20190919,47885]
[20190918,47997]
[20190917,48138]
[20190916,48069]
[20190912,47898]
[20190911,48097]
[20190910,48016]
[20190909,48031]
[20190906,47571]
[20190905,47449]
[20190904,47280]
