[20150401, 100, 17900.31193802011, 17914.012903912204, 17866.05952328987, 17866.05952328987, 11616.0, 0]
[20150401, 115, 17866.05952328987, 17893.461455074066, 17866.05952328987, 17866.05952328987, 7782.0, 900]
[20150401, 130, 17866.05952328987, 17872.910006235925, 17845.508074451736, 17852.358557397783, 7918.0, 1502]
[20150401, 145, 17852.358557397783, 17872.910006235925, 17838.657591505686, 17859.209040343823, 2680.0, 2185]
[20150401, 200, 17866.05952328987, 17872.910006235925, 17831.807108559642, 17838.657591505686, 4898.0, 2629]
[20150401, 215, 17838.657591505686, 17872.910006235925, 17824.956625613595, 17866.05952328987, 5890.0, 3106]
[20150401, 230, 17866.05952328987, 17866.05952328987, 17852.358557397783, 17859.209040343823, 790.0, 3717]
[20150401, 245, 17859.209040343823, 17872.910006235925, 17831.807108559642, 17838.657591505686, 3002.0, 3961]
[20150401, 300, 17838.657591505686, 17852.358557397783, 17824.956625613595, 17831.807108559642, 4218.0, 4203]
[20150401, 315, 17831.807108559642, 17838.657591505686, 17818.106142667544, 17824.956625613595, 4222.0, 4517]
[20150401, 900, 17831.807108559642, 17866.05952328987, 17722.19938142289, 17818.106142667544, 25442.0, 4856]
[20150401, 915, 17811.255659721497, 17838.657591505686, 17797.554693829406, 17811.255659721497, 7220.0, 6103]
[20150401, 930, 17811.255659721497, 17886.61097212802, 17811.255659721497, 17866.05952328987, 8498.0, 6812]
[20150401, 945, 17866.05952328987, 17872.910006235925, 17852.358557397783, 17872.910006235925, 1778.0, 7602]
[20150401, 1000, 17872.910006235925, 17893.461455074066, 17866.05952328987, 17879.76048918197, 4106.0, 7971]
[20150401, 1030, 17879.76048918197, 17893.461455074066, 17872.910006235925, 17879.76048918197, 2936.0, 8414]
[20150401, 1045, 17879.76048918197, 17982.517733372668, 17872.910006235925, 17941.414835696392, 21364.0, 8815]
[20150401, 1100, 17941.414835696392, 17996.21869926476, 17934.564352750345, 17955.115801588476, 8524.0, 9670]
[20150401, 1115, 17955.115801588476, 17975.66725042662, 17941.414835696392, 17955.115801588476, 3232.0, 10396]
[20150401, 1330, 17955.115801588476, 17961.96628453453, 17920.863386858255, 17934.564352750345, 2910.0, 10797]
[20150401, 1345, 17934.564352750345, 17934.564352750345, 17907.162420966157, 17927.713869804295, 2518.0, 11274]
[20150401, 1400, 17920.863386858255, 17927.713869804295, 17886.61097212802, 17893.461455074066, 1808.0, 11689]
[20150401, 1415, 17893.461455074066, 17893.461455074066, 17852.358557397783, 17872.910006235925, 5168.0, 12117]
[20150401, 1430, 17866.05952328987, 17879.76048918197, 17852.358557397783, 17859.209040343823, 3200.0, 12664]
[20150401, 1445, 17859.209040343823, 17866.05952328987, 17818.106142667544, 17818.106142667544, 5714.0, 13065]
[20150402, 59, 17804.405176775457, 17845.508074451736, 17770.152762045218, 17797.554693829406, 8730.0, 13682]
[20150402, 114, 17797.554693829406, 17920.863386858255, 17790.704210883363, 17872.910006235925, 15058.0, 14445]
[20150402, 129, 17872.910006235925, 17900.31193802011, 17845.508074451736, 17852.358557397783, 7966.0, 15343]
[20150402, 144, 17852.358557397783, 17907.162420966157, 17845.508074451736, 17907.162420966157, 5544.0, 15970]
[20150402, 159, 17900.31193802011, 17927.713869804295, 17886.61097212802, 17907.162420966157, 8506.0, 16492]
[20150402, 214, 17907.162420966157, 17941.414835696392, 17907.162420966157, 17927.713869804295, 7134.0, 17160]
[20150402, 229, 17927.713869804295, 17927.713869804295, 17893.461455074066, 17893.461455074066, 3888.0, 17704]
[20150402, 244, 17893.461455074066, 17907.162420966157, 17859.209040343823, 17893.461455074066, 2740.0, 18178]
[20150402, 259, 17886.61097212802, 17893.461455074066, 17866.05952328987, 17872.910006235925, 1644.0, 18621]
[20150402, 314, 17872.910006235925, 17900.31193802011, 17872.910006235925, 17886.61097212802, 1928.0, 18922]
[20150402, 329, 17886.61097212802, 17893.461455074066, 17845.508074451736, 17866.05952328987, 4712.0, 19294]
[20150402, 914, 17866.05952328987, 17872.910006235925, 17845.508074451736, 17859.209040343823, 1814.0, 19926]
[20150402, 929, 17859.209040343823, 17900.31193802011, 17852.358557397783, 17879.76048918197, 2774.0, 20270]
[20150402, 944, 17879.76048918197, 17900.31193802011, 17872.910006235925, 17879.76048918197, 1772.0, 20699]
[20150402, 959, 17879.76048918197, 17914.012903912204, 17879.76048918197, 17914.012903912204, 2294.0, 21037]
[20150402, 1014, 17914.012903912204, 17914.012903912204, 17893.461455074066, 17914.012903912204, 1438.0, 21384]
[20150402, 1044, 17914.012903912204, 17914.012903912204, 17893.461455074066, 17907.162420966157, 1298.0, 21745]
[20150402, 1059, 17907.162420966157, 17914.012903912204, 17879.76048918197, 17900.31193802011, 1330.0, 22044]
[20150402, 1114, 17900.31193802011, 17920.863386858255, 17879.76048918197, 17886.61097212802, 1110.0, 22280]
[20150402, 1129, 17886.61097212802, 17900.31193802011, 17866.05952328987, 17872.910006235925, 1972.0, 22535]
[20150402, 1344, 17872.910006235925, 17879.76048918197, 17838.657591505686, 17872.910006235925, 3648.0, 22972]
[20150402, 1359, 17872.910006235925, 17872.910006235925, 17852.358557397783, 17866.05952328987, 812.0, 23409]
[20150402, 1414, 17859.209040343823, 17872.910006235925, 17859.209040343823, 17859.209040343823, 614.0, 23659]
[20150402, 1429, 17859.209040343823, 17859.209040343823, 17818.106142667544, 17824.956625613595, 5032.0, 23850]
[20150402, 1444, 17818.106142667544, 17824.956625613595, 17797.554693829406, 17804.405176775457, 8728.0, 24379]
