[20200318,1787]
[20200317,1778]
[20200316,1803]
[20200313,1771]
[20200312,1749]
[20200311,1747]
[20200310,1743]
[20200309,1742]
[20200306,1752]
[20200305,1758]
[20200304,1754]
[20200303,1762]
[20200302,1747]
[20200228,1730]
[20200227,1770]
[20200226,1795]
[20200225,1794]
[20200224,1788]
[20200221,1801]
[20200220,1780]
[20200219,1774]
[20200218,1796]
[20200217,1807]
[20200214,1805]
[20200213,1810]
[20200212,1798]
[20200211,1760]
[20200210,1725]
[20200207,1721]
[20200206,1705]
[20200205,1706]
[20200204,1686]
[20200203,1781]
[20200123,1785]
[20200122,1785]
[20200121,1806]
[20200120,1806]
[20200117,1796]
[20200116,1784]
[20200115,1789]
[20200114,1783]
[20200113,1807]
[20200110,1811]
[20200109,1833]
[20200108,1829]
[20200107,1809]
[20200106,1799]
[20200103,1798]
[20200102,1810]
[20191231,1791]
[20191230,1786]
[20191227,1782]
[20191226,1773]
[20191225,1781]
[20191224,1790]
[20191223,1798]
[20191220,1813]
[20191219,1792]
[20191218,1781]
[20191217,1760]
[20191216,1767]
[20191213,1772]
[20191212,1783]
[20191211,1783]
[20191210,1792]
[20191209,1769]
[20191206,1737]
[20191205,1744]
[20191204,1737]
[20191203,1723]
[20191202,1714]
[20191129,1726]
[20191128,1731]
[20191127,1726]
[20191126,1767]
[20191125,1727]
[20191122,1674]
[20191121,1684]
[20191120,1681]
[20191119,1654]
[20191118,1645]
[20191115,1631]
[20191114,1609]
[20191113,1595]
[20191112,1589]
[20191111,1622]
[20191108,1623]
[20191107,1628]
[20191106,1640]
[20191105,1625]
[20191104,1618]
[20191101,1622]
[20191031,1621]
[20191030,1632]
[20191029,1630]
[20191028,1663]
[20191025,1659]
[20191024,1646]
[20191023,1634]
[20191022,1621]
[20191021,1651]
[20191018,1658]
[20191017,1657]
[20191016,1677]
[20191015,1673]
[20191014,1726]
[20191011,1723]
[20191010,1721]
[20191009,1742]
[20191008,1736]
[20190930,1760]
[20190927,1750]
[20190926,1765]
[20190925,1749]
[20190924,1835]
[20190923,1824]
[20190920,1822]
[20190919,1834]
[20190918,1839]
[20190917,1849]
[20190916,1860]
[20190912,1845]
[20190911,1819]
[20190910,1821]
[20190909,1794]
[20190906,1785]
[20190905,1786]
[20190904,1765]
[20190903,1777]
[20190902,1770]
[20190830,1748]
[20190829,1751]
[20190828,1736]
[20190827,1747]
[20190826,1805]
[20190823,1814]
[20190822,1822]
[20190821,1843]
[20190820,1837]
[20190819,1837]
[20190816,1839]
[20190815,1833]
[20190814,1852]
[20190813,1862]
[20190812,1834]
[20190809,1870]
[20190808,1877]
[20190807,1876]
[20190806,1870]
[20190805,1872]
[20190802,1921]
[20190801,1954]
[20190731,1963]
[20190730,1977]
[20190729,1989]
[20190726,1958]
[20190725,1939]
[20190724,1965]
[20190723,1958]
[20190722,1996]
[20190719,2004]
[20190718,2017]
[20190717,1989]
[20190716,1978]
[20190715,1959]
[20190712,1921]
[20190711,1901]
[20190710,1932]
[20190709,1942]
[20190708,1950]
[20190705,1965]
[20190704,1948]
[20190703,1936]
[20190702,1945]
[20190701,1922]
[20190628,1888]
[20190627,1918]
[20190626,1919]
[20190625,1903]
[20190624,1925]
[20190621,1905]
[20190620,1893]
[20190619,1879]
[20190618,1883]
[20190617,1931]
[20190614,1964]
[20190613,1948]
[20190612,2017]
[20190611,1982]
[20190610,1959]
[20190606,1933]
[20190605,1942]
[20190604,1924]
[20190603,1952]
[20190531,2007]
[20190530,2033]
[20190529,2042]
[20190528,2063]
[20190527,2122]
[20190524,2103]
[20190523,2095]
[20190522,2102]
[20190521,2031]
[20190520,1974]
[20190517,1970]
[20190516,1959]
[20190515,1934]
[20190514,1940]
[20190513,1977]
[20190510,1974]
[20190509,1965]
[20190508,1949]
[20190507,1913]
[20190506,1889]
[20190430,1869]
[20190429,1854]
[20190426,1858]
[20190425,1874]
[20190424,1868]
[20190423,1866]
[20190422,1874]
[20190419,1858]
[20190418,1868]
[20190417,1882]
[20190416,1874]
[20190415,1861]
[20190412,1830]
[20190411,1840]
[20190410,1866]
[20190409,1894]
[20190408,1873]
[20190404,1848]
[20190403,1841]
[20190402,1837]
[20190401,1820]
[20190329,1801]
[20190328,1781]
[20190327,1792]
[20190326,1798]
[20190325,1822]
[20190322,1809]
[20190321,1796]
[20190320,1787]
[20190319,1792]
[20190318,1819]
[20190315,1829]
